instrument,ts,bid,ask
EUR_USD,1640000045.0,1.0848,1.085
EUR_USD,1640000046.0,1.085,1.0852
EUR_USD,1640000047.0,1.0848,1.085
EUR_USD,1640000048.0,1.085,1.0852
EUR_USD,1640000049.0,1.0848,1.085
EUR_USD,1640000050.0,1.085,1.0852
EUR_USD,1640000051.0,1.0848,1.085
EUR_USD,1640000052.0,1.085,1.0852
EUR_USD,1640000053.0,1.0848,1.085
EUR_USD,1640000054.0,1.085,1.0852
EUR_USD,1640000055.0,1.0848,1.085
EUR_USD,1640000056.0,1.085,1.0852
EUR_USD,1640000057.0,1.0848,1.085
EUR_USD,1640000058.0,1.085,1.0852
EUR_USD,1640000059.0,1.0848,1.085
EUR_USD,1640000060.0,1.085,1.0852
EUR_USD,1640000061.0,1.0848,1.085
EUR_USD,1640000062.0,1.085,1.0852
EUR_USD,1640000063.0,1.0848,1.085
EUR_USD,1640000064.0,1.085,1.0852
EUR_USD,1640000065.0,1.0848,1.085
EUR_USD,1640000066.0,1.085,1.0852
EUR_USD,1640000067.0,1.0848,1.085
EUR_USD,1640000068.0,1.085,1.0852
EUR_USD,1640000069.0,1.0848,1.085
EUR_USD,1640000070.0,1.085,1.0852
EUR_USD,1640000071.0,1.0848,1.085
EUR_USD,1640000072.0,1.085,1.0852
EUR_USD,1640000073.0,1.0848,1.085
EUR_USD,1640000074.0,1.085,1.0852
EUR_USD,1640000075.0,1.0848,1.085
EUR_USD,1640000076.0,1.085,1.0852
EUR_USD,1640000077.0,1.0848,1.085
EUR_USD,1640000078.0,1.085,1.0852
EUR_USD,1640000079.0,1.0848,1.085
EUR_USD,1640000080.0,1.085,1.0852
EUR_USD,1640000081.0,1.0848,1.085
EUR_USD,1640000082.0,1.085,1.0852
EUR_USD,1640000083.0,1.0848,1.085
EUR_USD,1640000084.0,1.085,1.0852
EUR_USD,1640000085.0,1.0848,1.085
EUR_USD,1640000086.0,1.085,1.0852
EUR_USD,1640000087.0,1.0848,1.085
EUR_USD,1640000088.0,1.085,1.0852
EUR_USD,1640000089.0,1.0848,1.085
EUR_USD,1640000090.0,1.085,1.0852
EUR_USD,1640000091.0,1.0848,1.085
EUR_USD,1640000092.0,1.085,1.0852
EUR_USD,1640000093.0,1.0848,1.085
EUR_USD,1640000094.0,1.085,1.0852
EUR_USD,1640000095.0,1.0848,1.085
EUR_USD,1640000096.0,1.085,1.0852
EUR_USD,1640000097.0,1.0848,1.085
EUR_USD,1640000098.0,1.085,1.0852
EUR_USD,1640000099.0,1.0848,1.085
EUR_USD,1640000100.0,1.085,1.0852
EUR_USD,1640000101.0,1.0848,1.085
EUR_USD,1640000102.0,1.085,1.0852
EUR_USD,1640000103.0,1.0848,1.085
EUR_USD,1640000104.0,1.085,1.0852
EUR_USD,1640000105.0,1.0848,1.085
EUR_USD,1640000106.0,1.085,1.0852
EUR_USD,1640000107.0,1.0848,1.085
EUR_USD,1640000108.0,1.085,1.0852
EUR_USD,1640000109.0,1.0848,1.085
EUR_USD,1640000110.0,1.085,1.0852
EUR_USD,1640000111.0,1.0848,1.085
EUR_USD,1640000112.0,1.085,1.0852
EUR_USD,1640000113.0,1.0848,1.085
EUR_USD,1640000114.0,1.085,1.0852
EUR_USD,1640000115.0,1.0848,1.085
EUR_USD,1640000116.0,1.085,1.0852
EUR_USD,1640000117.0,1.0848,1.085
EUR_USD,1640000118.0,1.085,1.0852
EUR_USD,1640000119.0,1.0848,1.085
EUR_USD,1640000120.0,1.085,1.0852
EUR_USD,1640000121.0,1.0848,1.085
EUR_USD,1640000122.0,1.085,1.0852
EUR_USD,1640000123.0,1.0848,1.085
EUR_USD,1640000124.0,1.085,1.0852
EUR_USD,1640000125.0,1.0848,1.085
EUR_USD,1640000126.0,1.085,1.0852
EUR_USD,1640000127.0,1.0848,1.085
EUR_USD,1640000128.0,1.085,1.0852
EUR_USD,1640000129.0,1.0848,1.085
EUR_USD,1640000130.0,1.085,1.0852
EUR_USD,1640000131.0,1.0848,1.085
EUR_USD,1640000132.0,1.085,1.0852
EUR_USD,1640000133.0,1.0848,1.085
EUR_USD,1640000134.0,1.085,1.0852
EUR_USD,1640000135.0,1.0848,1.085
EUR_USD,1640000136.0,1.085,1.0852
EUR_USD,1640000137.0,1.0848,1.085
EUR_USD,1640000138.0,1.085,1.0852
EUR_USD,1640000139.0,1.0848,1.085
EUR_USD,1640000140.0,1.085,1.0852
EUR_USD,1640000141.0,1.0848,1.085
EUR_USD,1640000142.0,1.085,1.0852
EUR_USD,1640000143.0,1.0848,1.085
EUR_USD,1640000144.0,1.085,1.0852
EUR_USD,1640000145.0,1.0848,1.085
EUR_USD,1640000146.0,1.085,1.0852
EUR_USD,1640000147.0,1.0848,1.085
EUR_USD,1640000148.0,1.085,1.0852
EUR_USD,1640000149.0,1.0848,1.085
EUR_USD,1640000150.0,1.085,1.0852
EUR_USD,1640000151.0,1.0848,1.085
EUR_USD,1640000152.0,1.085,1.0852
EUR_USD,1640000153.0,1.0848,1.085
EUR_USD,1640000154.0,1.085,1.0852
EUR_USD,1640000155.0,1.0848,1.085
EUR_USD,1640000156.0,1.085,1.0852
EUR_USD,1640000157.0,1.0848,1.085
EUR_USD,1640000158.0,1.085,1.0852
EUR_USD,1640000159.0,1.0848,1.085
EUR_USD,1640000160.0,1.085,1.0852
EUR_USD,1640000161.0,1.0848,1.085
EUR_USD,1640000162.0,1.085,1.0852
EUR_USD,1640000163.0,1.0848,1.085
EUR_USD,1640000164.0,1.085,1.0852
EUR_USD,1640000165.0,1.0848,1.085
EUR_USD,1640000166.0,1.085,1.0852
EUR_USD,1640000167.0,1.0848,1.085
EUR_USD,1640000168.0,1.085,1.0852
EUR_USD,1640000169.0,1.0848,1.085
EUR_USD,1640000170.0,1.085,1.0852
EUR_USD,1640000171.0,1.0848,1.085
EUR_USD,1640000172.0,1.085,1.0852
EUR_USD,1640000173.0,1.0848,1.085
EUR_USD,1640000174.0,1.085,1.0852
EUR_USD,1640000175.0,1.0848,1.085
EUR_USD,1640000176.0,1.085,1.0852
EUR_USD,1640000177.0,1.0848,1.085
EUR_USD,1640000178.0,1.085,1.0852
EUR_USD,1640000179.0,1.0848,1.085
EUR_USD,1640000181.0,1.0851,1.0853
EUR_USD,1640000182.0,1.0853,1.0855
EUR_USD,1640000183.0,1.0855,1.0856999999999999
EUR_USD,1640000184.0,1.0856999999999999,1.0858999999999999
EUR_USD,1640000185.0,1.0858999999999999,1.0860999999999998
EUR_USD,1640000186.0,1.0861,1.0863
EUR_USD,1640000187.0,1.0863,1.0865
EUR_USD,1640000188.0,1.0865,1.0867
EUR_USD,1640000189.0,1.0867,1.0869
EUR_USD,1640000190.0,1.0869,1.0871
EUR_USD,1640000191.0,1.0869,1.0871
EUR_USD,1640000192.0,1.0869,1.0871
EUR_USD,1640000193.0,1.0869,1.0871
EUR_USD,1640000194.0,1.0869,1.0871
EUR_USD,1640000195.0,1.0869,1.0871
EUR_USD,1640000196.0,1.0869,1.0871
EUR_USD,1640000197.0,1.0869,1.0871
EUR_USD,1640000198.0,1.0869,1.0871
EUR_USD,1640000199.0,1.0869,1.0871
EUR_USD,1640000200.0,1.0869,1.0871
EUR_USD,1640000201.0,1.0869,1.0871
EUR_USD,1640000202.0,1.0869,1.0871
EUR_USD,1640000203.0,1.0869,1.0871
EUR_USD,1640000204.0,1.0869,1.0871
EUR_USD,1640000205.0,1.0869,1.0871
EUR_USD,1640000206.0,1.0869,1.0871
EUR_USD,1640000207.0,1.0869,1.0871
EUR_USD,1640000208.0,1.0869,1.0871
EUR_USD,1640000209.0,1.0869,1.0871
EUR_USD,1640000210.0,1.0869,1.0871
EUR_USD,1640000211.0,1.0869,1.0871
EUR_USD,1640000212.0,1.0868,1.087
EUR_USD,1640000213.0,1.0867,1.0869
EUR_USD,1640000214.0,1.0866,1.0868
EUR_USD,1640000215.0,1.0865,1.0867
EUR_USD,1640000216.0,1.0864,1.0866
EUR_USD,1640000217.0,1.0863,1.0865
EUR_USD,1640000218.0,1.0862,1.0864
EUR_USD,1640000219.0,1.0861,1.0863
EUR_USD,1640000220.0,1.086,1.0862
EUR_USD,1640000221.0,1.0859,1.0861
EUR_USD,1640000222.0,1.0857999999999999,1.0859999999999999
EUR_USD,1640000223.0,1.0856999999999999,1.0858999999999999
EUR_USD,1640000224.0,1.0856,1.0857999999999999
EUR_USD,1640000225.0,1.0855,1.0856999999999999
EUR_USD,1640000226.0,1.0854,1.0856
EUR_USD,1640000227.0,1.0853,1.0855
EUR_USD,1640000228.0,1.0852,1.0854
EUR_USD,1640000229.0,1.0851,1.0853
EUR_USD,1640000230.0,1.085,1.0852
EUR_USD,1640000231.0,1.0849,1.0851
EUR_USD,1640000232.0,1.0848,1.085
EUR_USD,1640000233.0,1.0847,1.0849
EUR_USD,1640000234.0,1.0846,1.0848
EUR_USD,1640000235.0,1.0845,1.0847
EUR_USD,1640000236.0,1.0844,1.0846
EUR_USD,1640000237.0,1.0843,1.0845
EUR_USD,1640000238.0,1.0842,1.0844
EUR_USD,1640000239.0,1.0841,1.0843
EUR_USD,1640000240.0,1.084,1.0842
EUR_USD,1640000241.0,1.084,1.0842
EUR_USD,1640000242.0,1.084,1.0842
EUR_USD,1640000243.0,1.084,1.0842
EUR_USD,1640000244.0,1.084,1.0842
EUR_USD,1640000245.0,1.084,1.0842
EUR_USD,1640000246.0,1.084,1.0842
EUR_USD,1640000247.0,1.084,1.0842
EUR_USD,1640000248.0,1.084,1.0842
EUR_USD,1640000249.0,1.084,1.0842
EUR_USD,1640000250.0,1.084,1.0842
EUR_USD,1640000251.0,1.084,1.0842
EUR_USD,1640000252.0,1.084,1.0842
EUR_USD,1640000253.0,1.084,1.0842
EUR_USD,1640000254.0,1.084,1.0842
EUR_USD,1640000255.0,1.084,1.0842
EUR_USD,1640000256.0,1.084,1.0842
EUR_USD,1640000257.0,1.084,1.0842
EUR_USD,1640000258.0,1.084,1.0842
EUR_USD,1640000259.0,1.084,1.0842
EUR_USD,1640000260.0,1.084,1.0842
EUR_USD,1640000261.0,1.084,1.0842
EUR_USD,1640000262.0,1.084,1.0842
EUR_USD,1640000263.0,1.084,1.0842
EUR_USD,1640000264.0,1.084,1.0842
EUR_USD,1640000265.0,1.084,1.0842
EUR_USD,1640000266.0,1.084,1.0842
EUR_USD,1640000267.0,1.084,1.0842
EUR_USD,1640000268.0,1.084,1.0842
EUR_USD,1640000269.0,1.084,1.0842
EUR_USD,1640000270.0,1.084,1.0842
EUR_USD,1640000271.0,1.084,1.0842
EUR_USD,1640000272.0,1.084,1.0842
EUR_USD,1640000273.0,1.084,1.0842
EUR_USD,1640000274.0,1.084,1.0842
EUR_USD,1640000275.0,1.084,1.0842
EUR_USD,1640000276.0,1.084,1.0842
EUR_USD,1640000277.0,1.084,1.0842
EUR_USD,1640000278.0,1.084,1.0842
EUR_USD,1640000279.0,1.084,1.0842
EUR_USD,1640000280.0,1.084,1.0842
EUR_USD,1640000281.0,1.084,1.0842
EUR_USD,1640000282.0,1.084,1.0842
EUR_USD,1640000283.0,1.084,1.0842
EUR_USD,1640000284.0,1.084,1.0842
EUR_USD,1640000285.0,1.084,1.0842
EUR_USD,1640000286.0,1.084,1.0842
EUR_USD,1640000287.0,1.084,1.0842
EUR_USD,1640000288.0,1.084,1.0842
EUR_USD,1640000289.0,1.084,1.0842
EUR_USD,1640000290.0,1.084,1.0842
EUR_USD,1640000291.0,1.084,1.0842
EUR_USD,1640000292.0,1.084,1.0842
EUR_USD,1640000293.0,1.084,1.0842
EUR_USD,1640000294.0,1.084,1.0842
EUR_USD,1640000295.0,1.084,1.0842
EUR_USD,1640000296.0,1.084,1.0842
EUR_USD,1640000297.0,1.084,1.0842
EUR_USD,1640000298.0,1.084,1.0842
EUR_USD,1640000299.0,1.084,1.0842
EUR_USD,1640000300.0,1.084,1.0842
