instrument,ts,bid,ask,mid,spread_pips
EUR_USD,1640000182.0,1.09544,1.09552,1.09548,0.8
EUR_USD,1640000183.0,1.09535,1.09543,1.09539,0.8
EUR_USD,1640000184.0,1.09506,1.09514,1.0951,0.8
EUR_USD,1640000185.0,1.09496,1.09504,1.095,0.8
EUR_USD,1640000186.0,1.0949,1.09498,1.09494,0.8
EUR_USD,1640000187.0,1.09461,1.09469,1.09465,0.8
EUR_USD,1640000188.0,1.09434,1.09442,1.09438,0.8
EUR_USD,1640000189.0,1.09411,1.09419,1.09415,0.8
EUR_USD,1640000190.0,1.09368,1.09376,1.09372,0.8
EUR_USD,1640000191.0,1.09268,1.09276,1.09272,0.8
EUR_USD,1640000192.0,1.09268,1.09276,1.09272,0.8
EUR_USD,1640000193.0,1.0926,1.09268,1.09264,0.8
EUR_USD,1640000194.0,1.09252,1.0926,1.09256,0.8
EUR_USD,1640000195.0,1.09243,1.09251,1.09247,0.8
EUR_USD,1640000196.0,1.09229,1.09237,1.09233,0.8
EUR_USD,1640000197.0,1.09211,1.09219,1.09215,0.8
EUR_USD,1640000198.0,1.09195,1.09203,1.09199,0.8
EUR_USD,1640000199.0,1.09179,1.09187,1.09183,0.8
EUR_USD,1640000200.0,1.09152,1.0916,1.09156,0.8
EUR_USD,1640000201.0,1.09103,1.09111,1.09107,0.8
EUR_USD,1640000202.0,1.09026,1.09034,1.0903,0.8
EUR_USD,1640000203.0,1.09044,1.09052,1.09048,0.8
EUR_USD,1640000204.0,1.09045,1.09053,1.09049,0.8
EUR_USD,1640000205.0,1.09059,1.09067,1.09063,0.8
EUR_USD,1640000206.0,1.09071,1.09079,1.09075,0.8
EUR_USD,1640000207.0,1.0909,1.09098,1.09094,0.8
EUR_USD,1640000208.0,1.09109,1.09117,1.09113,0.8
EUR_USD,1640000209.0,1.09128,1.09136,1.09132,0.8
EUR_USD,1640000210.0,1.0916,1.09168,1.09164,0.8
EUR_USD,1640000211.0,1.0919,1.09198,1.09194,0.8
EUR_USD,1640000212.0,1.09241,1.09249,1.09245,0.8
EUR_USD,1640000213.0,1.09336,1.09344,1.0934,0.8
EUR_USD,1640000214.0,1.09333,1.09341,1.09337,0.8
EUR_USD,1640000215.0,1.09331,1.09339,1.09335,0.8
EUR_USD,1640000216.0,1.09345,1.09353,1.09349,0.8
EUR_USD,1640000217.0,1.0933,1.09338,1.09334,0.8
EUR_USD,1640000218.0,1.09329,1.09337,1.09333,0.8
EUR_USD,1640000219.0,1.09321,1.09329,1.09325,0.8
EUR_USD,1640000220.0,1.09315,1.09323,1.09319,0.8
EUR_USD,1640000221.0,1.09315,1.09323,1.09319,0.8
EUR_USD,1640000222.0,1.09314,1.09322,1.09318,0.8
EUR_USD,1640000223.0,1.09305,1.09313,1.09309,0.8
EUR_USD,1640000224.0,1.09294,1.09302,1.09298,0.8
EUR_USD,1640000225.0,1.09283,1.09291,1.09287,0.8
EUR_USD,1640000226.0,1.09274,1.09282,1.09278,0.8
EUR_USD,1640000227.0,1.09255,1.09263,1.09259,0.8
EUR_USD,1640000228.0,1.09247,1.09255,1.09251,0.8
EUR_USD,1640000229.0,1.09212,1.0922,1.09216,0.8
EUR_USD,1640000230.0,1.09173,1.09181,1.09177,0.8
EUR_USD,1640000231.0,1.09106,1.09114,1.0911,0.8
EUR_USD,1640000232.0,1.09005,1.09013,1.09009,0.8
EUR_USD,1640000233.0,1.09016,1.09024,1.0902,0.8
EUR_USD,1640000234.0,1.09024,1.09032,1.09028,0.8
EUR_USD,1640000235.0,1.09021,1.09029,1.09025,0.8
EUR_USD,1640000236.0,1.09019,1.09027,1.09023,0.8
EUR_USD,1640000237.0,1.0903,1.09038,1.09034,0.8
EUR_USD,1640000238.0,1.09044,1.09052,1.09048,0.8
EUR_USD,1640000239.0,1.09048,1.09056,1.09052,0.8
EUR_USD,1640000240.0,1.09058,1.09066,1.09062,0.8
EUR_USD,1640000241.0,1.0907,1.09078,1.09074,0.8
EUR_USD,1640000242.0,1.09093,1.09101,1.09097,0.8
EUR_USD,1640000243.0,1.09095,1.09103,1.09099,0.8
EUR_USD,1640000244.0,1.09105,1.09113,1.09109,0.8
EUR_USD,1640000245.0,1.09128,1.09136,1.09132,0.8
EUR_USD,1640000246.0,1.09144,1.09152,1.09148,0.8
EUR_USD,1640000247.0,1.0916,1.09168,1.09164,0.8
EUR_USD,1640000248.0,1.09198,1.09206,1.09202,0.8
EUR_USD,1640000249.0,1.09243,1.09251,1.09247,0.8
EUR_USD,1640000250.0,1.09286,1.09294,1.0929,0.8
EUR_USD,1640000251.0,1.09394,1.09402,1.09398,0.8
EUR_USD,1640000252.0,1.09419,1.09427,1.09423,0.8
EUR_USD,1640000253.0,1.09443,1.09451,1.09447,0.8
EUR_USD,1640000254.0,1.09461,1.09469,1.09465,0.8
EUR_USD,1640000255.0,1.09473,1.09481,1.09477,0.8
EUR_USD,1640000256.0,1.09502,1.0951,1.09506,0.8
EUR_USD,1640000257.0,1.0955,1.09558,1.09554,0.8
EUR_USD,1640000258.0,1.09631,1.09639,1.09635,0.8
EUR_USD,1640000259.0,1.09601,1.09609,1.09605,0.8
EUR_USD,1640000260.0,1.09594,1.09602,1.09598,0.8
EUR_USD,1640000261.0,1.0959,1.09598,1.09594,0.8
EUR_USD,1640000262.0,1.09568,1.09576,1.09572,0.8
EUR_USD,1640000263.0,1.09547,1.09555,1.09551,0.8
EUR_USD,1640000264.0,1.09515,1.09523,1.09519,0.8
EUR_USD,1640000265.0,1.09474,1.09482,1.09478,0.8
EUR_USD,1640000266.0,1.09377,1.09385,1.09381,0.8
EUR_USD,1640000267.0,1.09393,1.09401,1.09397,0.8
EUR_USD,1640000268.0,1.09398,1.09406,1.09402,0.8
EUR_USD,1640000269.0,1.09402,1.0941,1.09406,0.8
EUR_USD,1640000270.0,1.09427,1.09435,1.09431,0.8
EUR_USD,1640000271.0,1.09435,1.09443,1.09439,0.8
EUR_USD,1640000272.0,1.09452,1.0946,1.09456,0.8
EUR_USD,1640000273.0,1.09463,1.09471,1.09467,0.8
EUR_USD,1640000274.0,1.09472,1.0948,1.09476,0.8
EUR_USD,1640000275.0,1.09502,1.0951,1.09506,0.8
EUR_USD,1640000276.0,1.09536,1.09544,1.0954,0.8
EUR_USD,1640000277.0,1.09586,1.09594,1.0959,0.8
EUR_USD,1640000278.0,1.09681,1.09689,1.09685,0.8
EUR_USD,1640000279.0,1.09693,1.09701,1.09697,0.8
EUR_USD,1640000280.0,1.09698,1.09706,1.09702,0.8
EUR_USD,1640000281.0,1.09708,1.09716,1.09712,0.8
EUR_USD,1640000282.0,1.09718,1.09726,1.09722,0.8
EUR_USD,1640000283.0,1.09712,1.0972,1.09716,0.8
EUR_USD,1640000284.0,1.09709,1.09717,1.09713,0.8
EUR_USD,1640000285.0,1.0971,1.09718,1.09714,0.8
EUR_USD,1640000286.0,1.09731,1.09739,1.09735,0.8
EUR_USD,1640000287.0,1.09732,1.0974,1.09736,0.8
EUR_USD,1640000288.0,1.09747,1.09755,1.09751,0.8
EUR_USD,1640000289.0,1.09777,1.09785,1.09781,0.8
EUR_USD,1640000290.0,1.09817,1.09825,1.09821,0.8
EUR_USD,1640000291.0,1.09881,1.09889,1.09885,0.8
EUR_USD,1640000292.0,1.09868,1.09876,1.09872,0.8
EUR_USD,1640000293.0,1.09871,1.09879,1.09875,0.8
EUR_USD,1640000294.0,1.09872,1.0988,1.09876,0.8
EUR_USD,1640000295.0,1.09865,1.09873,1.09869,0.8
EUR_USD,1640000296.0,1.09858,1.09866,1.09862,0.8
EUR_USD,1640000297.0,1.09838,1.09846,1.09842,0.8
EUR_USD,1640000298.0,1.0984,1.09848,1.09844,0.8
EUR_USD,1640000299.0,1.09837,1.09845,1.09841,0.8
EUR_USD,1640000300.0,1.09819,1.09827,1.09823,0.8
EUR_USD,1640000301.0,1.09801,1.09809,1.09805,0.8
EUR_USD,1640000302.0,1.09795,1.09803,1.09799,0.8
EUR_USD,1640000303.0,1.09785,1.09793,1.09789,0.8
EUR_USD,1640000304.0,1.09765,1.09773,1.09769,0.8
EUR_USD,1640000305.0,1.09735,1.09743,1.09739,0.8
EUR_USD,1640000306.0,1.097,1.09708,1.09704,0.8
EUR_USD,1640000307.0,1.09648,1.09656,1.09652,0.8
EUR_USD,1640000308.0,1.09551,1.09559,1.09555,0.8
EUR_USD,1640000309.0,1.09563,1.09571,1.09567,0.8
EUR_USD,1640000310.0,1.09568,1.09576,1.09572,0.8
EUR_USD,1640000311.0,1.09574,1.09582,1.09578,0.8
EUR_USD,1640000312.0,1.09576,1.09584,1.0958,0.8
EUR_USD,1640000313.0,1.09568,1.09576,1.09572,0.8
EUR_USD,1640000314.0,1.09582,1.0959,1.09586,0.8
EUR_USD,1640000315.0,1.0958,1.09588,1.09584,0.8
EUR_USD,1640000316.0,1.09587,1.09595,1.09591,0.8
EUR_USD,1640000317.0,1.09586,1.09594,1.0959,0.8
EUR_USD,1640000318.0,1.0962,1.09628,1.09624,0.8
EUR_USD,1640000319.0,1.09647,1.09655,1.09651,0.8
EUR_USD,1640000320.0,1.09649,1.09657,1.09653,0.8
EUR_USD,1640000321.0,1.09652,1.0966,1.09656,0.8
EUR_USD,1640000322.0,1.09663,1.09671,1.09667,0.8
EUR_USD,1640000323.0,1.0967,1.09678,1.09674,0.8
EUR_USD,1640000324.0,1.09686,1.09694,1.0969,0.8
EUR_USD,1640000325.0,1.09699,1.09707,1.09703,0.8
EUR_USD,1640000326.0,1.09717,1.09725,1.09721,0.8
EUR_USD,1640000327.0,1.09737,1.09745,1.09741,0.8
EUR_USD,1640000328.0,1.09747,1.09755,1.09751,0.8
EUR_USD,1640000329.0,1.0976,1.09768,1.09764,0.8
EUR_USD,1640000330.0,1.09781,1.09789,1.09785,0.8
EUR_USD,1640000331.0,1.09813,1.09821,1.09817,0.8
EUR_USD,1640000332.0,1.09841,1.09849,1.09845,0.8
EUR_USD,1640000333.0,1.09935,1.09943,1.09939,0.8
EUR_USD,1640000334.0,1.09924,1.09932,1.09928,0.8
EUR_USD,1640000335.0,1.0992,1.09928,1.09924,0.8
EUR_USD,1640000336.0,1.09917,1.09925,1.09921,0.8
EUR_USD,1640000337.0,1.09912,1.0992,1.09916,0.8
EUR_USD,1640000338.0,1.09915,1.09923,1.09919,0.8
EUR_USD,1640000339.0,1.09915,1.09923,1.09919,0.8
EUR_USD,1640000340.0,1.09914,1.09922,1.09918,0.8
EUR_USD,1640000341.0,1.09891,1.09899,1.09895,0.8
EUR_USD,1640000342.0,1.09886,1.09894,1.0989,0.8
EUR_USD,1640000343.0,1.09868,1.09876,1.09872,0.8
EUR_USD,1640000344.0,1.09848,1.09856,1.09852,0.8
EUR_USD,1640000345.0,1.09818,1.09826,1.09822,0.8
EUR_USD,1640000346.0,1.09798,1.09806,1.09802,0.8
EUR_USD,1640000347.0,1.09774,1.09782,1.09778,0.8
EUR_USD,1640000348.0,1.09745,1.09753,1.09749,0.8
EUR_USD,1640000349.0,1.09713,1.09721,1.09717,0.8
EUR_USD,1640000350.0,1.09615,1.09623,1.09619,0.8
EUR_USD,1640000351.0,1.09607,1.09615,1.09611,0.8
EUR_USD,1640000352.0,1.09604,1.09612,1.09608,0.8
EUR_USD,1640000353.0,1.09597,1.09605,1.09601,0.8
EUR_USD,1640000354.0,1.09606,1.09614,1.0961,0.8
EUR_USD,1640000355.0,1.09603,1.09611,1.09607,0.8
EUR_USD,1640000356.0,1.09589,1.09597,1.09593,0.8
EUR_USD,1640000357.0,1.09589,1.09597,1.09593,0.8
EUR_USD,1640000358.0,1.09576,1.09584,1.0958,0.8
EUR_USD,1640000359.0,1.09562,1.0957,1.09566,0.8
EUR_USD,1640000360.0,1.09556,1.09564,1.0956,0.8
EUR_USD,1640000361.0,1.09553,1.09561,1.09557,0.8
EUR_USD,1640000362.0,1.09531,1.09539,1.09535,0.8
EUR_USD,1640000363.0,1.09511,1.09519,1.09515,0.8
EUR_USD,1640000364.0,1.09496,1.09504,1.095,0.8
EUR_USD,1640000365.0,1.09479,1.09487,1.09483,0.8
EUR_USD,1640000366.0,1.09459,1.09467,1.09463,0.8
EUR_USD,1640000367.0,1.09428,1.09436,1.09432,0.8
EUR_USD,1640000368.0,1.09363,1.09371,1.09367,0.8
EUR_USD,1640000369.0,1.09369,1.09377,1.09373,0.8
EUR_USD,1640000370.0,1.09379,1.09387,1.09383,0.8
EUR_USD,1640000371.0,1.09391,1.09399,1.09395,0.8
EUR_USD,1640000372.0,1.09405,1.09413,1.09409,0.8
EUR_USD,1640000373.0,1.09432,1.0944,1.09436,0.8
EUR_USD,1640000374.0,1.09427,1.09435,1.09431,0.8
EUR_USD,1640000375.0,1.0945,1.09458,1.09454,0.8
EUR_USD,1640000376.0,1.09459,1.09467,1.09463,0.8
EUR_USD,1640000377.0,1.09491,1.09499,1.09495,0.8
EUR_USD,1640000378.0,1.09533,1.09541,1.09537,0.8
EUR_USD,1640000379.0,1.09573,1.09581,1.09577,0.8
EUR_USD,1640000380.0,1.09675,1.09683,1.09679,0.8
EUR_USD,1640000381.0,1.0967,1.09678,1.09674,0.8
EUR_USD,1640000382.0,1.09676,1.09684,1.0968,0.8
EUR_USD,1640000383.0,1.09667,1.09675,1.09671,0.8
EUR_USD,1640000384.0,1.09663,1.09671,1.09667,0.8
EUR_USD,1640000385.0,1.0966,1.09668,1.09664,0.8
EUR_USD,1640000386.0,1.09661,1.09669,1.09665,0.8
EUR_USD,1640000387.0,1.09648,1.09656,1.09652,0.8
EUR_USD,1640000388.0,1.09645,1.09653,1.09649,0.8
EUR_USD,1640000389.0,1.09639,1.09647,1.09643,0.8
EUR_USD,1640000390.0,1.09622,1.0963,1.09626,0.8
EUR_USD,1640000391.0,1.09622,1.0963,1.09626,0.8
EUR_USD,1640000392.0,1.09607,1.09615,1.09611,0.8
EUR_USD,1640000393.0,1.09601,1.09609,1.09605,0.8
EUR_USD,1640000394.0,1.09587,1.09595,1.09591,0.8
EUR_USD,1640000395.0,1.09568,1.09576,1.09572,0.8
EUR_USD,1640000396.0,1.09551,1.09559,1.09555,0.8
EUR_USD,1640000397.0,1.09545,1.09553,1.09549,0.8
EUR_USD,1640000398.0,1.09531,1.09539,1.09535,0.8
EUR_USD,1640000399.0,1.09514,1.09522,1.09518,0.8
EUR_USD,1640000400.0,1.095,1.09508,1.09504,0.8
EUR_USD,1640000401.0,1.09491,1.09499,1.09495,0.8
EUR_USD,1640000402.0,1.09458,1.09466,1.09462,0.8
EUR_USD,1640000403.0,1.09414,1.09422,1.09418,0.8
EUR_USD,1640000404.0,1.09361,1.09369,1.09365,0.8
EUR_USD,1640000405.0,1.09256,1.09264,1.0926,0.8
EUR_USD,1640000406.0,1.09239,1.09247,1.09243,0.8
EUR_USD,1640000407.0,1.09231,1.09239,1.09235,0.8
EUR_USD,1640000408.0,1.09202,1.0921,1.09206,0.8
EUR_USD,1640000409.0,1.09188,1.09196,1.09192,0.8
EUR_USD,1640000410.0,1.09196,1.09204,1.092,0.8
EUR_USD,1640000411.0,1.09182,1.0919,1.09186,0.8
EUR_USD,1640000412.0,1.09171,1.09179,1.09175,0.8
EUR_USD,1640000413.0,1.0916,1.09168,1.09164,0.8
EUR_USD,1640000414.0,1.09153,1.09161,1.09157,0.8
EUR_USD,1640000415.0,1.09125,1.09133,1.09129,0.8
EUR_USD,1640000416.0,1.09108,1.09116,1.09112,0.8
EUR_USD,1640000417.0,1.09092,1.091,1.09096,0.8
EUR_USD,1640000418.0,1.09074,1.09082,1.09078,0.8
EUR_USD,1640000419.0,1.09053,1.09061,1.09057,0.8
EUR_USD,1640000420.0,1.09043,1.09051,1.09047,0.8
EUR_USD,1640000421.0,1.09019,1.09027,1.09023,0.8
EUR_USD,1640000422.0,1.08991,1.08999,1.08995,0.8
